real_2026_covariates,swap_2025_covariates,shift
90.69999999999999,22.105999999999998,-68.594
0.6450000000000002,5.1469999999999985,4.501999999999998
0.40900000000000014,3.760000000000001,3.351000000000001
0.3290000000000002,1.6939999999999984,1.3649999999999982
0.29900000000000015,2.380000000000001,2.0810000000000004
0.29400000000000015,3.757999999999999,3.463999999999999
0.28600000000000014,4.043000000000002,3.757000000000002
0.27500000000000013,2.693,2.418
0.2520000000000001,1.2920000000000005,1.0400000000000005
0.241,1.5779999999999987,1.3369999999999989
0.23900000000000005,2.208000000000001,1.969000000000001
0.23700000000000018,1.6770000000000003,1.4400000000000002
0.23099999999999998,2.161,1.9300000000000002
0.21600000000000005,1.734,1.518
0.21500000000000008,1.5400000000000005,1.3250000000000004
0.19399999999999995,1.3079999999999998,1.1139999999999999
0.18299999999999997,1.3969999999999998,1.2139999999999997
0.17799999999999994,1.3279999999999992,1.1499999999999992
0.17499999999999993,1.672,1.4969999999999999
0.174,1.6119999999999999,1.438
0.17099999999999993,1.814,1.6430000000000002
0.165,3.0970000000000004,2.9320000000000004
0.165,1.102,0.937
0.153,0.6200000000000001,0.4670000000000001
0.15099999999999997,1.1919999999999997,1.0409999999999997
0.15,1.3319999999999994,1.1819999999999995
0.13799999999999998,1.2569999999999997,1.1189999999999998
0.135,1.7420000000000004,1.6070000000000004
0.12599999999999986,0.39000000000000007,0.26400000000000023
0.12399999999999999,1.136,1.012
0.12399999999999999,1.6449999999999994,1.5209999999999995
0.12299999999999998,1.0150000000000001,0.8920000000000001
0.12,1.0770000000000004,0.9570000000000004
0.11199999999999999,2.354000000000001,2.242000000000001
0.11199999999999999,1.1050000000000004,0.9930000000000004
0.11199999999999999,0.7549999999999999,0.6429999999999999
0.11199999999999997,0.4379999999999999,0.3259999999999999
0.111,1.1629999999999996,1.0519999999999996
0.10799999999999998,0.8360000000000001,0.7280000000000001
0.10599999999999998,0.457,0.35100000000000003
0.102,1.083,0.981
0.10199999999999998,0.8550000000000003,0.7530000000000003
0.08599999999999987,0.13999999999999976,0.053999999999999895
0.085,1.5170000000000001,1.4320000000000002
0.08000000000000002,1.1299999999999994,1.0499999999999994
0.078,0.7819999999999996,0.7039999999999996
0.07599999999999998,1.1009999999999998,1.0249999999999997
0.07399999999999995,0.26400000000000007,0.1900000000000001
0.06899999999999999,0.5240000000000002,0.45500000000000024
0.06899999999999996,0.8790000000000002,0.8100000000000003
0.06699999999999995,0.16799999999999998,0.10100000000000003
0.051000000000000004,0.5140000000000001,0.46300000000000013
0.03800000000000001,0.38099999999999995,0.3429999999999999
0.03700000000000001,0.5599999999999998,0.5229999999999998
0.03500000000000002,0.2730000000000001,0.23800000000000004
0.018000000000000006,0.11299999999999999,0.09499999999999999
